# CREATED BY M. WILD: Concatenated from original data, added x/d column
# Sandia piloted CH4-air jet flame D (1997)
# Profile of Favre average mass fractions
# x/d    r/d    F       Frms    T(K)   Trms   YO2       YO2rms    YN2       YN2rms    YH2       YH2rms    YH2O      YH2Orms   YCH4      YCH4rms   YCO       YCOrms    YCO2      YCO2rms   YOH       YOHrms    YNO       YNOrms    YCOLIF    YCOrms
  3.0   1.49  0.0753  0.0576   808.   348.  1.82E-01  3.95E-02  7.54E-01  8.56E-03  1.14E-05  4.27E-05  3.14E-02  1.80E-02  9.74E-05  2.63E-04  0.00E+00  1.66E-03  3.24E-02  2.64E-02  5.43E-05  1.08E-04  2.93E-06  2.69E-06  1.51E-04  2.06E-04
  3.0   1.62  0.0352  0.0391   559.   266.  2.09E-01  2.62E-02  7.57E-01  7.34E-03  1.37E-05  2.69E-05  1.86E-02  1.21E-02  1.64E-05  1.51E-04  0.00E+00  1.16E-03  1.44E-02  1.84E-02  1.41E-05  4.13E-05  1.53E-06  1.79E-06  7.73E-05  1.24E-04
  3.0   1.90  0.0000  0.0012   301.    11.  2.30E-01  4.00E-03  7.64E-01  4.12E-03  5.07E-06  5.88E-06  6.27E-03  6.41E-04  1.31E-05  6.68E-05  0.00E+00  3.79E-04  0.00E+00  4.16E-04  0.00E+00  1.37E-07  1.43E-07  1.44E-07  2.16E-05  4.02E-05
  3.0   2.18  0.0000  0.0010   294.     4.  2.31E-01  3.97E-03  7.63E-01  4.01E-03  4.51E-06  5.43E-06  6.01E-03  4.95E-04  0.00E+00  6.08E-05  0.00E+00  3.85E-04  0.00E+00  3.79E-04  0.00E+00  1.37E-07  9.03E-08  1.18E-07  1.12E-05  4.10E-05
  7.5  -2.78  0.0000  0.0009   291.     3.  2.30E-01  3.78E-03  7.64E-01  3.80E-03  3.36E-06  4.81E-06  6.02E-03  4.68E-04  0.00E+00  6.19E-05  0.00E+00  3.78E-04  0.00E+00  3.62E-04  5.10E-08  1.14E-07  1.59E-07  1.43E-07  2.75E-05  4.03E-05
  7.5  -2.78  0.0000  0.0009   290.     3.  2.30E-01  4.02E-03  7.64E-01  4.05E-03  4.92E-06  5.18E-06  5.93E-03  4.99E-04  0.00E+00  6.56E-05  0.00E+00  3.61E-04  0.00E+00  3.60E-04  2.56E-08  1.28E-07  8.92E-08  1.26E-07  1.19E-05  3.82E-05
  7.5  -0.28  0.9376  0.0570   401.   100.  1.87E-01  1.04E-02  6.54E-01  8.08E-03  1.70E-04  1.55E-04  7.23E-03  6.07E-03  1.43E-01  1.15E-02  1.49E-03  2.91E-03  5.98E-03  6.20E-03  2.50E-07  6.06E-06  1.33E-06  1.25E-06  2.53E-03  2.42E-03
  7.5  -0.14  0.9698  0.0417   329.    43.  1.93E-01  6.14E-03  6.51E-01  6.67E-03  5.31E-05  6.54E-05  2.83E-03  2.63E-03  1.50E-01  7.28E-03  3.32E-04  1.20E-03  1.86E-03  2.63E-03  0.00E+00  8.50E-07  5.12E-07  4.80E-07  8.94E-04  1.08E-03
  7.5   0.00  0.9866  0.0370   306.    20.  1.94E-01  4.76E-03  6.50E-01  5.98E-03  1.71E-05  2.63E-05  1.37E-03  1.19E-03  1.54E-01  5.96E-03  1.33E-05  1.01E-03  5.65E-04  1.42E-03  0.00E+00  7.70E-07  2.37E-07  2.33E-07  4.10E-04  5.73E-04
  7.5   0.14  0.9869  0.0372   311.    23.  1.93E-01  5.23E-03  6.50E-01  6.51E-03  2.82E-05  4.03E-05  1.55E-03  1.37E-03  1.54E-01  6.01E-03  2.22E-04  1.04E-03  9.63E-04  1.70E-03  1.62E-08  7.35E-07  2.47E-07  2.33E-07  4.75E-04  6.08E-04
