B4C1 Bluff-Body C2H4 Cold Flows, Mixture Fractions        
File Name =   b4c1a.dat
MODIFIED BY M. WILD, 2012-12-19: Reformated to add x column and removed sectioning

Axial(mm) Radial(mm)     Mean      RMS 

    23.80    -14.60     0.104     0.036
    23.80    -14.00     0.121     0.040
    23.80    -13.40     0.110     0.036
    23.80    -12.80     0.121     0.040
    23.80    -12.20     0.129     0.040
    23.80    -11.60     0.110     0.036
    23.80    -11.00     0.129     0.040
    23.80    -10.40     0.134     0.044
    23.80     -9.80     0.143     0.048
    23.80     -9.20     0.173     0.048
    23.80     -8.60     0.162     0.036
    23.80     -8.00     0.165     0.040
    23.80     -7.40     0.184     0.040
    23.80     -6.80     0.197     0.044
    23.80     -6.20     0.206     0.052
    23.80     -5.60     0.219     0.060
    23.80     -5.00     0.243     0.072
    23.80     -4.40     0.269     0.072
    23.80     -3.80     0.313     0.084
    23.80     -3.20     0.396     0.088
    23.80     -2.60     0.457     0.100
    23.80     -2.00     0.537     0.108
    23.80     -1.40     0.654     0.104
    23.80     -0.80     0.763     0.140
    23.80     -0.20     0.848     0.156
    23.80      0.40     0.844     0.120
    23.80      1.00     0.792     0.108
    23.80      1.60     0.735     0.096
    23.80      2.20     0.628     0.124
    23.80      2.80     0.574     0.108
    23.80      3.40     0.505     0.096
    23.80      4.00     0.399     0.100
    23.80      4.60     0.329     0.092
    23.80      5.20     0.316     0.092
    23.80      5.80     0.260     0.064
    23.80      6.40     0.213     0.052
    23.80      7.00     0.201     0.052
    23.80      7.60     0.208     0.048
    23.80      8.20     0.190     0.048
    23.80      8.80     0.184     0.044
    23.80      9.40     0.179     0.044
    23.80     10.00     0.172     0.044
    23.80     10.60     0.174     0.044
    23.80     11.20     0.180     0.048
    23.80     11.80     0.167     0.040
    23.80     12.40     0.159     0.040
    23.80     13.00     0.155     0.036
    23.80     13.60     0.156     0.036
    23.80     14.20     0.149     0.036
    23.80     14.80     0.146     0.032
    23.80     15.40     0.143     0.036
    23.80     16.00     0.151     0.032
    23.80     16.60     0.148     0.032
    23.80     17.20     0.141     0.028
    23.80     17.80     0.140     0.032
    23.80     18.40     0.140     0.032
    23.80     19.00     0.136     0.028
    23.80     19.60     0.132     0.028
    23.80     20.20     0.123     0.032
    23.80     20.80     0.098     0.032
    23.80     21.40     0.084     0.040
    23.80     22.00     0.062     0.028
    23.80     22.60     0.051     0.028
    23.80     23.20     0.029     0.024
    23.80     23.80     0.021     0.024
    23.80     24.40     0.010     0.016
    23.80     25.00     0.004     0.008
    23.80     25.60     0.003     0.008
    23.80     26.20     0.002     0.004
    24.50    -29.00     0.001     0.000
    24.50    -28.40     0.001     0.000
    24.50    -27.80     0.001     0.000
    24.50    -27.20     0.000     0.000
    24.50    -26.60     0.000     0.000
    24.50    -26.00     0.001     0.000
    24.50    -25.40     0.004     0.004
    24.50    -24.80     0.009     0.008
    24.50    -24.20     0.017     0.012
    24.50    -23.60     0.028     0.020
    24.50    -23.00     0.049     0.024
    24.50    -22.40     0.057     0.024
    24.50    -21.80     0.075     0.024
    24.50    -21.20     0.092     0.024
    24.50    -20.60     0.086     0.024
    24.50    -20.00     0.093     0.028
    24.50    -19.40     0.100     0.028
    24.50    -18.80     0.108     0.028
    24.50    -18.20     0.104     0.028
    24.50    -17.60     0.102     0.024
    24.50    -17.00     0.099     0.028
    24.50    -16.40     0.108     0.032
    24.50    -15.80     0.108     0.036
    24.50    -15.20     0.113     0.044
    24.50    -14.60     0.107     0.040
    24.50    -14.00     0.113     0.040
    24.50    -13.40     0.119     0.040
    24.50    -12.80     0.127     0.040
    24.50    -12.20     0.127     0.036
    24.50    -11.60     0.134     0.044
    24.50    -11.00     0.138     0.044
    24.50    -10.40     0.137     0.040
    24.50     -9.80     0.148     0.048
    24.50     -9.20     0.165     0.048
    24.50     -8.60     0.163     0.044
    24.50     -8.00     0.179     0.048
    24.50     -7.40     0.183     0.048
    24.50     -6.80     0.200     0.052
